d1	RRYyWWSs	11 - 01 - 00 - 01	11	01	00	01	Orange
d3	RRYyWWSS	11 - 01 - 00 - 11	11	01	00	11	Yellow
d4	RRYyWwss	11 - 01 - 01 - 00	11	01	01	00	Red
d5	RRYyWwSs	11 - 01 - 01 - 01	11	01	01	01	Red
d7	RRYyWwSS	11 - 01 - 01 - 11	11	01	01	11	White
dc	RRYywwss	11 - 01 - 11 - 00	11	01	11	00	Black
dd	RRYywwSs	11 - 01 - 11 - 01	11	01	11	01	Red
df	RRYywwSS	11 - 01 - 11 - 11	11	01	11	11	Purple
f0	RRYYWWss	11 - 11 - 00 - 00	11	11	00	00	Orange
f1	RRYYWWSs	11 - 11 - 00 - 01	11	11	00	01	Orange
f3	RRYYWWSS	11 - 11 - 00 - 11	11	11	00	11	Yellow
f4	RRYYWwss	11 - 11 - 01 - 00	11	11	01	00	Orange
f5	RRYYWwSs	11 - 11 - 01 - 01	11	11	01	01	Orange
f7	RRYYWwSS	11 - 11 - 01 - 11	11	11	01	11	Yellow
fc	RRYYwwss	11 - 11 - 11 - 00	11	11	11	00	Blue
fd	RRYYwwSs	11 - 11 - 11 - 01	11	11	11	01	Red
ff	RRYYwwSS	11 - 11 - 11 - 11	11	11	11	11	White
